RePEc:but:ijhefa;2017;;null;null;0;;ReDIF-Article;2069-5748;2285-0449;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:but:manage;2017;3;0.01;0.01;0;2;ReDIF-Article;1453-0503;2286-170X;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:cbu:jrnlec;2017;35;0.02;0.02;216;5;ReDIF-Article;1844-7007;2344-3685;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:cbu:jrnlju;2017;;null;null;0;;ReDIF-Article;1844-7015;2344-486X;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:cej:primer;2017;;null;null;0;;ReDIF-Article;1692-3065;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:cem:temana;2017;;null;null;0;1;ReDIF-Article;1668-5792;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:chc:studse;2017;1;null;0.11;0;3;ReDIF-Article;2235-1868;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:clh:briefi;2017;;null;null;9;1;ReDIF-Article;2560-8320;2560-8312;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:clh:commun;2017;;null;null;25;1;ReDIF-Article;2560-8320;2560-8312;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:clh:defenc;2017;;null;null;0;;ReDIF-Article;2560-8320;2560-8312;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:clh:resear;2017;19;0.08;0.1;20;5;ReDIF-Article;2560-8320;2560-8312;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:clh:techni;2017;;null;null;1;1;ReDIF-Article;2560-8320;2560-8312;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:clh:worksh;2017;;null;null;0;;ReDIF-Article;2560-8320;2560-8312;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:clr:wugarc;2017;8;0.05;0.04;25;6;ReDIF-Article;0378-5130;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:cmj:interc;2017;3;0.01;0.01;22;3;ReDIF-Article;1454-9980;2285-9292;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:cmj:lawsor;2017;;null;null;16;;ReDIF-Article;2537-477X;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:cmj:networ;2017;3;0.06;0.03;16;2;ReDIF-Article;2344-1712;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:cmj:seapas;2017;20;0.04;0.03;65;3;ReDIF-Article;2360-2554;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:cml:boletn;2017;;null;null;11;2;ReDIF-Article;0186-7229;2224-6703;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:cml:moneta;2017;5;0.13;0.06;8;5;ReDIF-Article;0185-1136;2224-6681;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:cml:moneya;2017;;null;null;0;6;ReDIF-Article;0187-7615;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:diw:diwdeb;2017;40;0.1;0.12;77;7;ReDIF-Article;2192-7200;2192-7219;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:diw:diwdwr;2017;;null;null;0;;ReDIF-Article;2568-7697;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:diw:diwwob;2017;77;0.07;0.08;182;13;ReDIF-Article;0012-1304;1860-8787;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:diw:diwwrp;2017;;null;null;0;5;ReDIF-Article;1860-3343;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:edr:sswrgl;2017;;null;null;14;1;ReDIF-Article;2573-3222;2573-3230;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:eff:ekoeco;2017;;null;null;0;1;ReDIF-Article;1330-0636;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:ene:journl;2017;;null;null;0;;ReDIF-Article;1818-4170;2518-1610;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erc:cypepr;2017;6;0.11;0.11;8;6;ReDIF-Article;1450-457X;1450-4561;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erh:journl;2017;7;0.44;0.27;7;3;ReDIF-Article;1308-8815;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erp:eiopxx;2017;2;null;0.05;0;8;ReDIF-Article;1027-5193;;scimago;2018;5700161625;0.361;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:ancoec;2017;;null;null;0;1;ReDIF-Article;1885-6985;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:aysays;2017;;null;null;17;;ReDIF-Article;2174-7563;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
